cena,lokacija,velikost,leto,vrsta,podvrsta,prodajalec,opis
"390.000,00",ČRNA VAS,"100,2",2016,Hiša, Dvojček,"MP PROJEKT, d.o.o., PE Ljubljana ","Luksuzno in moderno opremljena hiša (enota dvojčka), primerna za naložbo ali udobno in kakovostno bivanje (z dvigalom za gibalno ovirane), prodamo.  Hiša velikosti 100,2 m2, na parceli 262 m2, se nahaja v naselju Črna vas, v bližini znane Plečnikove cerkve sv. Mihaela na Barju. Zgrajena je bila leta 2016. Ob hiši je urejena pokrita terasa z zunanjim žarom, vrt z jacuzzijem, večja lopa za shranjevanje, ter nadstrešek za 2 avtomobila.  Hiša:  P+M (+20 m2 neizkoriščenega podstrešja) 	PRITLIČJE: 	Predprostor/hodnik 		Utiliti/wc 		Kuhinja z jedilnico 		Shramba 		Dnevna soba s kaminom 		Terasa/vrt/lopa 	 	MANSARDA: 	Stopnice/dvigalo 		Hodnik 		Kopalnica/WC/tuš/bide 		2 spalnici in 2 garderobni sobi 	 Oprema hiše:  Prodaja se popolnoma opremljena. 	V celoti na novo in po meri opremljena leta 2018: pohištvo po meri, visoka kakovost, bela tehnika, jacuzzi na vrtu, kamin v dnevni sobi, klimatizirana. 	Vgrajeno priročno dvigalo. Priljučki:  Toplotna črpalka – talno ogrevanje ter topla sanitarna voda 	Klimatski napravi v obeh nadstropjih Lokacija:  Okolje primerno za rekreacijo – naravni rezervat Ljubljansko barje 	1,7 km do AC 	3 km do nakupovalnega centra Ljubljana Rudnik 	5 km do Plečnikove tržnice (Center Ljubljane) 	LPP 19, 19B, 19I V teku je komunalna in prometna ureditev ceste Črna vas: vodovod, kanalizacija, plinovod, električna in telekomunikacijska napeljava, javna razsvetljava, pločnik, kolesarska steza, vozišče.  Ogled možen po predhodnem dogovoru.  Posebni pogoj prodajalca je, da mu kupec povrne del stroška prodaje nepremičnine v višini 2% (+ DDV) od pogodbene vrednosti.  Ostala naša ponudba: www.mp-projekt.si "
"890.000,00",DOBRUNJE,"758,2",2002,Hiša, Samostojna,ABC nepremičnine d.o.o. ,"Moste – Dobrunje, parc.814m2 , stan.površine:758,2, moderno in ekskluzivno  zasnovana stanovanjska hiša zgrajena leta 2002 se nahaja  v mirnem naselju stanovanjskih hiš v neposredni bližini gozda, zelenih, rekreativnih in pohodnih površin, stran od mestnega vrveža in hkrati blizu vse infrastrukture: banke, pošte, trgovine, avtobusne postaje, šole, vrtca, AC priključek,  storitvenih in gostinskih dejavnost.  Hiša je zasnovana kot projekt modernega časa, veliki odprti prostori, visoki stropovi omogočajo izredno prostornost, zračnost, funkcionalnost, velike panoramske stene obilico sonca in svetlobe.  Zasnovana je kot enonadstropen objekt z mansardo ( P+1+M). Gradnja je klasična in izredno kvalitetna.  PRITLIČJE: namenjen poslovni dejavnosti, pisarne,.., garaže,...  PRVO NADSTROPJE: kuhinja z jedilnico, ki je povezana v dnevno sobo, dnevni wc, prehod v spalni del: dve otroški sobi s kopalnico in wc.jem, spalnica z garderobno sobo in kopalnico  MANSARDA: možnost dodatnega stanovanja  V hiši je potrebno položiti še talne obloge, parket, keramiko, zaključiti kopalnice,…  HIšo odlikuje zelo velik in prostoren vrt.  Poteka še postopek urejanja dokumentacije.  Pogoj lastnika za sklenitev posla: kupec plača davek na promet nepremičnin v višini 2% prodajne cene oz. davčne osnove."
"549.000,00","BIZOVIK, IDEALNO ZA VELIKE DRUŽINE ALI INVESTITORJE","327,6",1979,Hiša, Dvojček,"Stoja trade, d.o.o., Ljubljana ","Prodamo prostoren dvojček na mirni, zeleni in razgledni lokaciji. Hiša je locirana v bližini celotne infrastrukture, pri čemer je LPP avtobusna postaja cca. 150 m, osnovna šola in vrtec pa cca. 1,5 km stran.    Razporeditev prostorov obsega 4 etaže, pri čemer je možno v vsaki etaži vzpostaviti ločeno stanovanje s samostojnim vhodom.     V pol-kleti, ki ima normalno višino stropov, sta locirana dva večnamenska prostora, sanitarije, shramba z možnostjo vzpostavitve kopalnice, kurilnica z večjim prostorom ter izhod na J-V orientiran vrt z dozidano garažo in drvarnico, kjer bi bilo možno vzpostaviti tudi delavnico, fitnes ali notranji bazen z welnessom. Ta del hiše je še v postopku legalizacije, ki jo bo na lastne stroške izvedel prodajalec.     Visoko pritličje pa obsega dovoz za parkiranje vozil, predprostor z garderobo, hodnik s prehodom v garažo, ki jo je mogoče preurediti v bivanjski del, sanitarije, shramba, kuhinja z jedilnico ter povezava z dnevno-bivalnim prostorom ter izhodom na prostorno razgledno teraso (cca. 70 m2).     V nadstropju je lociran hodnik, dve spalnici, kopalnica, prostor predviden za kuhinjo z jedilnico, ter dnevno-bivalen prostor z izhodom na balkon.     Mansarda pa obsega spalnico, kopalnico, manjšo kuhinjo z jedilnico ter dnevni prostor, pri čemer imata tako jedilnica, kot tudi dnevna soba izhod na razgledno teraso (17,32 m2).     Visoko pritličje je bilo delno prenovljeno, ostale etaže pa so bolj ali manj v prvotnem stanju in so potrebne celovite prenove.     Na voljo takoj, vabljeni k ogledu!     Pogoj lastnika za sklenitev posla: Kupec plača davek na promet nepremičnin v višini 2 % prodajne cene. Kupec ne plača agencijske provizije. "
"2.000.000,00","LJ. CENTER, TRSTENJAKOVA",450,2004,Hiša, Samostojna,Zasebna ponudba,
"235.000,00",LJ. MOSTE,112,1925,Hiša, Vrstna,MEZANIN PRO nepremičnine d.o.o. ,"Posredujemo pri prodaji manjša hiše, ki je klasično grajena in se nahaja na odlični lokaciji v Zeleni jami, v bližini centra mesta. Hiša ima etažnost: K+P+1+M.Je delno opremljena, oprema v hiši je predmet nakupa. Opis nadstropja  V kleti se nahaja kuhinja z kopalnico in kurilnico.Pritličje poseduje veliko dnevno sobo in stranišče. V prvem nadstropju je spalnica in kopalnica. Mansarda poseduje veliko sobo z izhodom na balkon.   Opis lokacije Zelena jama, Moste, bližina centra mesta. Za več informacij, točen naslov in dodatne slike pojdite na spletno stran https://mezanin.si/adverts/1299. Agentu napišite Sporočilo ali si Rezervirajte ogled, da vam lahko pomagamo do vašega novega doma! MEZANIN – nepremičninska agencija, kjer prodajalec plača fiksno ceno 1.590 €, kupec pa naši agenciji za posredovanje ne plača ničesar."
"225.000,00",LJ. MOSTE,130,2018,Hiša, Vrstna,DVOREC POSREDNIŠKA HIŠA d.o.o. ,"Lokacija: v Zalogu, v bližini trgovine Spar, avtobusne postaje, knjižnice Razporeditev prostorov: hiša obsega dve etaži. V pritličju je predsoba, hodnik, dnevno bivalni prostor s kuhinjo in jedilnico z izhodom v atrij, dve spalnici, kopalnica s straniščem. V nadstropju so kopalnica s straniščem in dve spalnici. Atrij meri cca 100 m2, deloma je pokrit in ograjen z živo mejo Prednost hiše je obrobje mesta, kjer je veliko možnosti za preživljanje prostega časa v naravi, istočasno pa je v neposredni bližini vsa infrastruktura, potrebna za udobno življenje.  Obnova: popolnoma obnovljena,  na novo izdelana stanovanjska hiša, trenutno v V. gradbeni fazi, v kratkem dokončana na ključ. V sobah bo položen oljeni hrastov parket, vgrajena keramika v kopalnicah, notranja vrata, stikala, vtičnice, svetila. Vgrajeni material bo višjega standardnega razreda. Telekomunikacije: vsi priključki, optika Ogrevanje: vgrajena je plinska peč za ogrevanje in  toplo vodo, talno gretje.    Parkiranje: dve parkirni mesti ob hiši Infrastruktura:  v neposredni bližini je vsa potrebna infrastruktura, šola, vrtec, mestni potniški promet, železniška postaja, trgovina, knjižnica, pošta, sprehajalne poti ….. Vpisano v zemljiško knjigo ter brez bremen. Prevzem je možen takoj.. Ponudbeni pogoj prodajalca: plačilo davka na promet nepremičnin prevzame kupec.  Prijazno vabljeni na našo spletno stran www.nepremicnina-dvorec.si, kjer se lahko seznanite z našo ponudbo in pogoji nakupa in prodaje."
"500.000,00",LJ. MOSTE,160,1963,Hiša, Samostojna,MESTO NEPREMIČNIN d.o.o. ,"Samostojna dvostanovanjska hiša neposredno pod Golovcem(P+M, l. 1963, 1530 m2 zemljišča) Prodamo samostojno dvostanovanjsko hišo, ki se nahaja na odlični lokaciji, neposredno pod vznožjem Golovca. Hiša je bila zgrajena l. 1963. Celotna parcela v velikosti 1.530 m2 je sestavljena iz stavbnega zemljišča (860 m2) ter gozda za hišo (670 m2). Možnost nakupa kot investicije, saj je v primeru rušitve obstoječega objekta na stavbnem zemljišču možna gradnja dvojčka.  OSNOVNE ZNAČILNOSTI Parkirno mesto: da, pred hišo se nahaja parkirišče za več osebnih vozil Primerno za investicijo Sončna lokacija POVRŠINA Skupne površina hiše: 160 m2 (vsako nadstropje po cca. 80 m2) Shramba za hišo: 30 m2 Zemljišče skupaj: 1.530 m2 PRENOVA L. 2014: streha L. 2017: nova PVC okna v mansardnem stanovanju PRIKLJUČKI Internet: optika Ogrevanje: ljubljanski toplovod Kanalizacija LOKACIJA IN INFRASTRUKTURA Zemljišče se nahaja blizu mestnega jedra z enostavnim dostopom do obvoznice po Litijski cesti. Lokacija nudi vse prednosti mestnega življenja, hkrati pa omogoča hiter pobeg v naravo in aktivno preživljanje prostega časa na pobočjih Golovca. Udobno in sproščeno bivanje nudi vsa infrastruktura: osnovna šola, vrtec, pošta, lekarna, gostinski lokali, trgovine, ki so v neposredni bližini. Lokacija je dostopna z LPP. DODATNO Vpisano v ZK in bremen prosto. Zemljišče predstavlja velik potencial za investitorje, saj omogoča obnovo obstoječe hiše ali rušitev in postavitev dvojčka. OSTALO PONUDBO NAŠIH NEPREMIČNIN, NOVOGRADENJ TER ISKALCEV NEPREMIČNIN SI LAHKO OGLEDATE NA SPODNJI POVEZAVI NAD REFERENČNO ŠTEVILKO!"
"350.000,00",LJ. MOSTE,200,1947,Hiša, Samostojna,MEZANIN PRO nepremičnine d.o.o. ,"Posredujemo pri prodaji samostojne hiše v kateri so tri ločena stanovanja: polkletno, visoko pritiličje in prvo nadstropje, hiša ima dva ločena vhoda. Opis nadstropja  Klet  Polkletno opremljeno stanovanje, ki je v solidnem stanju in je takoj vseljivo. Stanovanje obsega tri sobe, kuhinja z jedilnico in kopalnico. Pritličje  V pritličju se nahaja stanovanje z tremi sobami, dnevno sobo in kopalnico. Stanovanje je opremljeno, vendar potrebno prenove. 1. nadstropje  Opremljeno stanovanje, delno mansardno s tremi sobami dnevno sobo z kuhinjo in kopalnico. Opis lokacije  Mirna lokacija, 2 km od obvoznice, v neposredni bližini vrtec, šola, zdravstveni dom. Za več informacij, točen naslov in dodatne slike pojdite na spletno stran https://mezanin.si/adverts/1314. Agentu napišite Sporočilo ali si Rezervirajte ogled, da vam lahko pomagamo do vašega novega doma!MEZANIN – nepremičninska agencija, kjer prodajalec plača fiksno ceno 1.590 €, kupec pa naši agenciji za posredovanje ne plača ničesar."
"669.000,00",LJ. MOSTE,"206,6",2021,Hiša, Dvojček,MESTO NEPREMIČNIN d.o.o. ,"Nadstandardni dvojček v Zadobrovi(P+1, l. 2021, zgrajeno ""na ključ"") V Zadobrovi prodamo nadstandardni dvojček, ki bo zgrajen ""NA KLJUČ"" in bo od centra mesta Ljubljane oddaljen le nekaj minut. Gradnja se bo pričela z letošnjim junijem, vselitev pa je predvidena junija leta 2022. Dvojček bo etažnosti P+1, odlikoval pa ga bo zelo funkcionalen tloris. Obe enoti dvojčka imata ločen zunanji vhod, pripadata pa jima tudi 2 pokriti parkirni mesti za avtomobila ter 2 terasi. Vsi materiali, ki bodo uporabljeni med gradnjo, bodo nadstandardni. Zaradi veliko steklenih površin in panoramskega okna v velikosti 6,5 m2 so prostori zelo svetli. Dvojček je primeren za vse, ki si želijo popolno udobje urbanega življenja in obenem vsakodnevno bivanje z naravo. Lokacija hiše omogoča hiter dostop z avtomobilom ali mestnim avtobusom do centra mesta in drugih predelov preko bližnjega uvoza na Ljubljansko obvoznico. Okolica ponuja številne možnosti za rekreacijo in ostale aktivne dejavnosti. OSNOVNE ZNAČILNOSTI Parkirno mesto: da, 2 pokriti parkirni mesti na dvoriščnem delu Število spalnic: 4 Število kopalnic: 2 kopalnici in dodatno ločen WC za goste Terasa: da, na južnem delu hiše POVRŠINA Bivalne površine: 166,7 m2 Skupne površine: 206,6 Površina zemljišča: 113,8 m2 Zelene površine: 76,8 m2 Terasa: 37 m2 RAZPOREDITEV PROSTOROV PRITLIČJE: predprostor (7,8 m2), WC (2,6 m2), utility (10,2 m2), dnevno-bivalni prostor s kuhinjo (53,1 m2), tehnika (7,7 m2), zunanja terasa (29 m2) 1. NADSTROPJE: spalnica (24 m2), kopalnica I (2,7 m2), kabinet (11,4 m2), kopalnica II (7,6 m2), soba I (11,2 m2), stopnišče (4,8 m2), soba II (11,4 m2), hodnik (13,1 m2), terasa (10 m2) OPREMA Streha bo ravna, z minimalnim naklonom za odvodnjavanje proizvajalca Bauder Vhodna vrata (na prstni odtis) bodo enokrilna v ALU izvedbi ter popolnoma poravnana v ravnini fasade Vsa notranja vrata bodo nadstandardne višine cca 2,4 m Vsa okna bodo v ALU izvedbi s 3-slojno zasteklitvijo Veliko steklenih površin, panoramsko okno v velikosti 6,5 m2 Električne žaluzije na vseh oknih Ogrevanje in hlajenje bo potekalo z reverzibilno toplotno črpalko zrak/voda z integriranim bojlerjem Ogrevanje bo talno, v kopalnicah pa bodo poleg talnega ogrevanja tudi radiatorji Prezračevanje bo urejeno z rekuperacijo Vgrajene bodo klimatske naprave Fasada bo kombinacija prezračevane fasade iz ALU barvnih kompozitnih plošč ter kombinacija kamene volne Okolica hiše bo v celoti izvedena Pohodne in vozne površine bodo tlakovane Vrt bo zasajen s travo in grmovnicami Posamezne parcele bodo ograjene s kovinsko panelno ograjo ter bodo ozelenjene, med obema objektoma pa bo ozelenjena  tudi betonska ograja Izvedena bo zapornica za vstop v naselje, na daljinsko odpiranje Vsaka enota bo imela zunanje shrambe za kolesa, itd. PRIKLJUČKI Internet Ogrevanje: talno (toplotna črpalka zrak/voda) LEGA JUG  LOKACIJA Okolica, kjer se bo nahajal dvojček nudi veliko možnosti za sprehode in preživljanje prostega časa v naravi, saj se nahaja blizu krajinskega parka Zajčja Dobrava. Hiša je le nekaj minut oddaljena od AC, v bližini pa se nahaja vsa infrastruktura za udobno in sproščeno bivanje.  OSTALO PONUDBO NAŠIH NEPREMIČNIN, NOVOGRADENJ TER ISKALCEV NEPREMIČNIN SI LAHKO OGLEDATE NA SPODNJI POVEZAVI NAD REFERENČNO ŠTEVILKO!"
"239.805,00",LJ. MOSTE,"211,25",2021,Hiša, Dvojček,MESTO NEPREMIČNIN d.o.o. ," Enota dvojčka v Podgradu(P+1+M, l. 2021, III. podaljšana gradbena faza) Prodamo kakovostno zgrajeno enoto dvojčka, ki se nahaja na mirni lokaciji, v objemu narave - bližina gozda in potoka. Enota ima pakirno mesto za dve osebni vozili ter lasten vrt, ki omogoča uživanje v sončnih pogledih na neokrnjeno naravo. Hiša je zasnovana P+1+M, poleg tega ponuja tudi možnost lastne razporeditve prostorov. Objekt bo zgrajen do III. podaljšane gradbene faze, z možnostjo izgradnje na ključ. DDV je vključen v ceno. KUPEC NE PLAČA PROVIZIJE! OSNOVNE ZNAČILNOSTI Garaža ali pokrito parkirno mesto: da, dve parkirni mesti pred hišo (možna postavitev nadstreška) Število spalnic: 3-4 Število kopalnic: 1 kopalnica in dodatno ločen WC za goste POVRŠINA Skupne površine: 211,25 m2 Bivalne površine: 192,45 m2 Terasa: 18,8 m2 Površina zemljišča: 308,62 m2 RAZPOREDITEV SOB PRITLIČJE (66.75 m2): predprostor z garderobo, WC, stopnišče z jedilnico, kuhinja s shrambo, dnevni prostor z izhodom na teraso in vrt NADSTROPJE (65,8 m2): spalnica, garderobna soba, dve sobi/spalnici, kopalnica, hodnik s stopniščem MANSARDA (59,9 m2): večnamenski prostor/soba/spalnica z izhodom na teraso OPREMA IN MATERIALI Hiša je zgrajena do III. podaljšane gradbene faze. Po dogovoru je možno dokončanje na ključ. Kakovostna gradnja Opeka PORTOTHERM Opečna kritina TONDACH v sivi barvi PVC okna, s troslojno zasteklitvijo in pripravo za senčila Vhodna vrata PIRNAR Vgrajen OGM dimnik za kamin Fasada bo v beli barvi, kovinska ograja in keramika v sivi barvi LEGA VZHOD ZAHOD JUG PRIKLJUČKI Internet: optika Ogrevanje: toplotna črpalka INFRASTRUKTURA Hiša se nahaja na mirni lokaciji, v bližini gozda in potoka. Do AC priključka vas loči 7 minut vožnje, do Zaloga pa dobra minuta, kjer se nahaja vsa potrebna infrastruktura. Najbližja postaja LPP je v Zalogu, oddaljena 2,4 km.ZA VEČ INFORMACIJ NAS POKLIČITE. OSTALO PONUDBO NAŠIH NEPREMIČNIN, NOVOGRADENJ TER ISKALCEV NEPREMIČNIN SI LAHKO OGLEDATE NA SPODNJI POVEZAVI NAD REFERENČNO ŠTEVILKO!"
